Year,Artist,Popularity,Track ID,Genre
1952,Dizzy Gillespie,36,42wbar3MwSjbRwAn7vYDeR,bebop
1952,Pee Wee King & His Golden West Cowboys,33,4dyemWgZn8CG9qneSpcQA3,traditional country
1952,Charlie Parker Quartet,37,7uW2RH45meppwDmn2iSIEB,bebop
1953,Hank Williams,59,0deAIqyKFFw55JDMGWTcdA,honky tonk
1953,Nat King Cole,59,3AgqQbQWYLGsemeBHk1U1d,christmas
1953,Hank Williams,53,0WwmFdGXe7Yky4T2J1oqLk,honky tonk
1953,Hank Williams,51,1lnQ6kkVaHg0Itdx88REdJ,honky tonk
1953,Gayla Peevey,51,5P8Xvy5tzhmfyfA6GplQ8h,christmas
1953,Nat King Cole,52,6115ks6fGkf7KYRDAi8lNK,christmas
1953,Hank Williams,47,4bLFRNxLjFltxVPjvUbgJ7,honky tonk
1953,Sonny Rollins,52,3glQOWRCAQIrCnQhWBEFSL,hard bop
1953,Billie Holiday,51,3mwIoHzwnTnGWjAUVqajLr,jazz
1953,Hank Williams,46,1bqDQwBFPvykl6OiIHTVis,honky tonk
1953,Jo Stafford,46,7lMqXEiOGnbeV67CE8g0D7,adult standards
1953,Nat King Cole,46,6k8VkbcU1CrMM2jbWfRF6O,christmas
1953,Nat King Cole,45,6Zis3c4TSJHeBkivT2tMzY,christmas
1953,Hank Williams,39,6qn7UNaivxzxsAG4OK6GPy,honky tonk
1953,Hank Williams,39,6ZMHH9XpOSv0p9vl51nLO2,honky tonk
1953,Les Paul,38,3qhxI5f7klTVfK0iWYmKdM,
1953,Tom Lehrer,39,3rho0Thg5lOVtYCoYeZ7fJ,comedy
1953,Chet Baker Quartet,41,2GJno1gOjvR91LTTzjrcXg,cool jazz
1953,Chet Baker Quartet,41,51UzDHEbm20AyguWY3xQNl,cool jazz
1953,Bud Powell Trio,40,0MmcBbIrZGpMb35kG1Q4lk,bebop
1953,Nat King Cole,39,4bIeo029q0hlNl2d3XJ0iM,christmas
1953,Caterina Valente,42,4ILYrW54vuiqfWFMfFH4nc,schlager
1953,Billie Holiday,40,3jG6okC06hzdqzIRcEzs7H,jazz
1953,Laurindo Almeida,39,6VReXvMXxUSwRPaY6KyNQw,brazilian jazz
1953,Hank Williams,35,0g9luqCueBGFmyhthBUjOs,honky tonk
1953,Chet Baker Quartet,39,5lASqAVEFyzbto9Hlu8Vax,cool jazz
1953,Chet Baker Quartet,38,424VTAj3h5aro5oi3sFid8,cool jazz
1953,The Four Lads,40,38qLvs3obCzzePUxYLtAG7,adult standards
1953,Bob Crosby,35,115kSEngEgbFrnaLlBUVUv,big band
1953,The Four Lads,37,3M6vVP9wlbGC10xZ654SDb,adult standards
1953,Bob Crosby,35,4wuDxu6N6DrtQPjV0A5xtq,big band
1953,Doris Day,41,5wzjc23Qsn7wN75eLMvFEc,adult standards
1953,Renato Rascel,40,5gq4hEt59pZBVWitMzjY5v,
1953,Marilyn Monroe,39,2y8Az6zkzWtLKjx4XzaxaJ,
1953,Dinah Washington,41,5cxRemrNoI9DUqQxqd2sir,vocal jazz
1953,Gil Melle,37,5Sv0wvyx7b2u7O4oj0iNJx,cool jazz
1953,Marian McPartland,35,1VNPjGAzBm9BYAiOmHYtv0,jazz
1953,Chet Baker Quartet,36,6fewsPpUw5Dl55duAWlj2q,cool jazz
1953,Chet Baker Quartet,35,05uSGDvQK7ZZyBDgnP9npg,cool jazz
1953,Kenny Drew Trio,37,2bm0Cr8Gol4hqV1UGEk0GW,hard bop
1953,Franck Pourcel,44,6kny535AGfHWjHT8cIAYW6,orchestra
1953,Chet Baker Quartet,35,2gy0QiKeCF9DecfA55hFwG,cool jazz
1953,Chet Baker Quartet,35,6cKJ44AtMWyEqBYJyYsXsz,cool jazz
1953,Chet Baker Quartet,34,1LOT8Gz6VaTA5gcbc7YMTp,cool jazz
1953,The Four Lads,34,78m4H9n4iZ7pFkihsvuL1n,adult standards
1953,Donald O'Connor,32,0FBvR8awn96FpWd2Saw8Za,musicals
1953,Les Paul,32,0onHzLoj8yQbjbHtJzwjBx,
1953,The Modern Jazz Quartet,35,2LkCr3r5s8uyGaZunVB00y,cool jazz
1953,Bob Crosby,31,0oCb8Bs4RUhVZUoRTv04Ei,big band
1953,Renato Carosone,27,6AQ1MoGeWA36WV2nniTZx8,canzone napoletana
1954,Nat King Cole,72,648TTtYB0bH0P8Hfy0FmkL,christmas
1954,Dean Martin,63,4I4aQGNJ2HufloNtB65nxR,christmas
1954,The Penguins,61,7GnMzVWOHLBPcfco4L1GtE,doo-wop
1954,Big Jay McNeely,59,3g4NRgSLSsGSbLkcQxSi4n,
1954,Hank Williams,58,5gbm0aNo7eXNuOEkQi5m9B,honky tonk
1954,Frank Sinatra,62,0x0ffSAP6PkdoDgHOfroof,christmas
1954,Dean Martin,59,3QyPsavxL681NX7SPVGd5T,christmas
1954,Dean Martin,59,7DuqCAxfOEKBfQgrnWfHrh,christmas
1954,Nat King Cole,58,5dae01pKNjRQtgOeAkFzPY,christmas
1954,Elton Britt,49,71wNj3IZOh0EeauvzaU6n0,traditional country
1954,Frank Sinatra,52,1GLA53wyoybkJIQPLJR1Ml,christmas
1954,Ben Webster,53,4GexggWZGdd0ER5wBAtuwF,jazz
1954,Sarah Vaughan,56,5z161QQZMgQxSILnv3QoJk,vocal jazz
1954,Nat King Cole,53,2Gd007dAbihobxsTG9m7cZ,christmas
1954,Frank Sinatra,49,0UgJXbeHm3KBKRaRyh7Tc2,christmas
1954,Ray Price,45,361wxJRa6M2sH1Epy2MAC1,honky tonk
1954,Sarah Vaughan,53,5m3XMzewNg9EADweC7j7Nn,vocal jazz
1954,Hank Williams,45,20aorkzugOSwPcXGZf9eCv,honky tonk
1954,The Drifters,45,72Z28IsvEVLjSWdUKEQgZ0,doo-wop
1954,Ben Webster,48,53VuyKap8WiDjkrtm5d4h3,jazz
